City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Viedma,AR,2022-02-02 15:24:27,-40.8135,-62.9967,85.71,29,100,7.2
169,Savannah Bight,HN,2022-02-02 15:24:27,16.45,-85.85,80.65,72,0,20.92
170,Sorong,ID,2022-02-02 15:24:27,-0.8833,131.25,79.05,83,85,2.64
171,Beringovskiy,RU,2022-02-02 15:24:28,63.05,179.3167,-3.84,88,45,19.26
172,Illapel,CL,2022-02-02 15:24:28,-31.6308,-71.1653,75.43,57,2,7.25
173,Norman Wells,CA,2022-02-02 15:24:29,65.282,-126.8329,-34.56,67,75,2.3
174,Lasa,IT,2022-02-02 15:24:29,46.6166,10.7002,46.36,94,100,8.12
175,Baykit,RU,2022-02-02 15:24:29,61.67,96.37,-4.5,100,99,0.98
176,Seminole,US,2022-02-02 15:22:42,28.7086,-81.2081,74.23,64,0,3.0
177,Carutapera,BR,2022-02-02 15:24:30,-1.195,-46.02,79.9,86,99,9.13
178,Grand Gaube,MU,2022-02-02 15:25:30,-20.0064,57.6608,81.37,80,100,21.99
179,Japura,ID,2022-02-02 15:25:30,-0.3167,102.35,75.07,94,73,1.39
180,Cherskiy,RU,2022-02-02 15:25:31,68.75,161.3,-6.84,64,53,3.78
181,Kholodnyy,RU,2022-02-02 15:25:31,62.7167,147.95,-21.41,100,97,3.56
182,Saldanha,ZA,2022-02-02 15:25:31,-33.0117,17.9442,68.05,81,100,12.88
183,Arman,RU,2022-02-02 15:25:32,59.7,150.1667,1.49,83,84,11.52
184,Chifeng,CN,2022-02-02 15:25:32,42.2683,118.9636,5.85,78,1,3.58
185,Axim,GH,2022-02-02 15:25:17,4.8699,-2.2405,85.73,61,92,12.68
186,Ramjibanpur,IN,2022-02-02 15:25:33,22.8333,87.6167,70.27,36,2,5.3
187,Isiro,CD,2022-02-02 15:25:33,2.7739,27.616,92.05,18,28,2.42
188,Khani,GE,2022-02-02 15:25:34,41.9563,42.9566,45.97,76,99,9.69
189,Mouila,GA,2022-02-02 15:25:34,-1.8685,11.0559,83.03,73,63,5.64
190,Georgetown,MY,2022-02-02 15:22:56,5.4112,100.3354,82.33,87,40,2.3
